author;score
PHILIP A. BERNSTEIN;62655703.293
MICHAEL STONEBRAKER;61738362.921
DAVID J. DEWITT;60335509.092
JIM GRAY;58452724.132
UMESHWAR DAYAL;58105048.655
RAYMOND A. LORIE;57606842.228
DONALD D. CHAMBERLIN;57435250.431
MICHAEL J. CAREY;56191915.811
JEFFREY D. ULLMAN;56098986.122
KAPALI P. ESWARAN;55953909.624
E. F. CODD;55595773.178
WON KIM;55485910.707
MORTON M. ASTRAHAN;53967137.730
DAVID MAIER;53884993.441
FRANCCEDILOIS BANCILHON;52436978.786
NATHAN GOODMAN;51776071.388
EUGENE WONG;50457002.386
IRVING L. TRAIGER;50067735.663
HECTOR GARCIA-MOLINA;49279794.248
CATRIEL BEERI;49031169.516
RONALD FAGIN;48476621.189
BRUCE G. LINDSAY;47956637.448
SERGE ABITEBOUL;47196023.670
RAKESH AGRAWAL;46621125.945
PATRICIA G. SELINGER;45312957.343
THOMAS G. PRICE;44961579.565
DENNIS MCLEOD;44846630.893
HAMID PIRAHESH;44408421.808
HENRY F. KORTH;44365555.952
RANDY H. KATZ;44264843.771
