author;score
M. FRANS KAASHOEK;10112159061.330
SCOTT SHENKER;9785892051.377
SENIOR MEMBER;8845140725.909
VAN JACOBSON;8813158813.753
SALLY FLOYD;8690842977.231
LARRY L. PETERSON;8630281410.114
HARI BALAKRISHNAN;8544868651.846
JENNIFER WIDOM;8512314665.858
DEBORAH ESTRIN;8414557973.610
MONICA S. LAM;8394649393.784
LIXIA ZHANG;8350916122.773
STEVEN MCCANNE;8263572085.250
M. SATYANARAYANAN;8087193503.971
THOMAS E. ANDERSON;8078380316.694
DON TOWSLEY;8053219720.880
JOHN K. OUSTERHOUT;8039121635.247
PETER B. DANZIG;7986359949.439
SERGE ABITEBOUL;7924035872.338
CHRISTOS FALOUTSOS;7915737482.408
STUDENT MEMBER;7854847262.677
KEN KENNEDY;7846470147.904
Y H. KATZ;7746528995.356
DAVID B. JOHNSON;7657508456.644
RAKESH AGRAWAL;7615283090.821
HUI ZHANG;7588067468.401
VERN PAXSON;7489340159.079
BART SELMAN;7483765335.089
JOSEPH M. HELLERSTEIN;7439523002.678
CHAU-WEN TSENG;7394297185.197
MICHAEL J. KARELS;7379419075.434
