author;score
SENIOR MEMBER;0.393
JOHN K. OUSTERHOUT;0.392
SCOTT SHENKER;0.384
M. FRANS KAASHOEK;0.383
STUDENT MEMBER;0.380
RAKESH AGRAWAL;0.380
HARI BALAKRISHNAN;0.377
DEBORAH ESTRIN;0.377
HECTOR GARCIA-MOLINA;0.376
FACHBEREICH INFORMATIK;0.375
VAN JACOBSON;0.375
RAJEEV MOTWANI;0.374
SALLY FLOYD;0.373
DAVID CULLER;0.370
LIXIA ZHANG;0.370
CHRISTOS FALOUTSOS;0.370
IAN FOSTER;0.370
STEVEN MCCANNE;0.370
PRABHAKAR RAGHAVAN;0.369
JENNIFER WIDOM;0.369
ROBERT E. SCHAPIRE;0.368
ROBERT MORRIS;0.368
M. SATYANARAYANAN;0.368
PETER B. DANZIG;0.367
VERN PAXSON;0.367
DON TOWSLEY;0.367
RICHARD KARP;0.367
THOMAS E. ANDERSON;0.366
ERIC A. BREWER;0.366
OREN ETZIONI;0.366
