author;score
SCOTT SHENKER;37.000
DEBORAH ESTRIN;34.000
KEN KENNEDY;33.000
DOUGLAS C. SCHMIDT;33.000
DON TOWSLEY;32.000
HECTOR GARCIA-MOLINA;31.000
THOMAS A. HENZINGER;30.000
RAKESH AGRAWAL;29.000
M. FRANS KAASHOEK;29.000
JENNIFER WIDOM;29.000
WILLY ZWAENEPOEL;28.000
HUI ZHANG;27.000
IAN FOSTER;27.000
MONI NAOR;27.000
SALLY FLOYD;26.000
LUCA CARDELLI;26.000
SERGE ABITEBOUL;26.000
SENIOR MEMBER;26.000
BART SELMAN;26.000
SEBASTIAN THRUN;25.000
OREN ETZIONI;24.000
DAVID J. DEWITT;24.000
DAPHNE KOLLER;24.000
RAJEEV ALUR;24.000
HARI BALAKRISHNAN;24.000
MAURIZIO LENZERINI;24.000
ODED GOLDREICH;24.000
STUDENT MEMBER;23.000
MARK D. HILL;23.000
ROBERT HARPER;23.000
