author;score
SENIOR MEMBER;5024.000
SCOTT SHENKER;4798.000
VAN JACOBSON;4112.000
STUDENT MEMBER;4082.000
SALLY FLOYD;3963.000
M. FRANS KAASHOEK;3854.000
DEBORAH ESTRIN;3747.000
LIXIA ZHANG;3626.000
HARI BALAKRISHNAN;3495.000
RAKESH AGRAWAL;3463.000
JOHN K. OUSTERHOUT;3401.000
IAN FOSTER;3135.000
DON TOWSLEY;3087.000
HECTOR GARCIA-MOLINA;2917.000
JENNIFER WIDOM;2880.000
STEVEN MCCANNE;2781.000
FACHBEREICH INFORMATIK;2645.000
ROBERT MORRIS;2625.000
VERN PAXSON;2480.000
WILLY ZWAENEPOEL;2478.000
CARL KESSELMAN;2453.000
HUI ZHANG;2449.000
TAKEO KANADE;2397.000
RANDAL E. BRYANT;2370.000
THORSTEN VON EICKEN;2358.000
HENRY M. LEVY;2282.000
DAVID CULLER;2241.000
THOMAS E. ANDERSON;2240.000
DAVID E. CULLER;2231.000
RAMAKRISHNAN SRIKANT;2224.000
