author;score
SENIOR MEMBER;6846.000
STUDENT MEMBER;6055.000
PH. D;4143.000
FACHBEREICH INFORMATIK;2413.000
PROF DR;1943.000
ARTHUR C. SMITH;1848.000
GRADUATE SCHOOL---NEW BRUNSWICK;1620.000
KARSTEN SCHWAN;1437.000
KANG G. SHIN;1364.000
KLARA NAHRSTEDT;1324.000
DON TOWSLEY;1260.000
IEEE COMPUTER SOCIETY;1251.000
COPYRIGHT STICHTING;1225.000
MATHEMATISCH CENTRUM;1225.000
JARMO T. ALANDER;1217.000
TZI-CKER CHIUEH;1097.000
HECTOR GARCIA-MOLINA;1082.000
M. FRANS KAASHOEK;1066.000
AMIN VAHDAT;1066.000
ASSOCIATE MEMBER;1063.000
IAN FOSTER;1055.000
INRIA ROCQUENCOURT;1048.000
HARI BALAKRISHNAN;1047.000
JOHN A. STANKOVIC;1030.000
DEPARTMENT CHAIR;1014.000
CAMBRIDGE CB FD;1009.000
DAVID KOTZ;1007.000
CALTON PU;1001.000
SCOTT SHENKER;1000.000
MARIO GERLA;999.000
