author;score
JOHN K. OUSTERHOUT;413.275
MARTIN E. HELLMAN;336.552
WHITFIELD DIFFIE;289.814
SENIOR MEMBER;280.899
JACK J. DONGARRA;279.157
VAN JACOBSON;259.762
SCOTT SHENKER;225.241
S. KENT;224.260
RANDAL E. BRYANT;197.141
SALLY FLOYD;196.267
LIXIA ZHANG;194.574
STUDENT MEMBER;182.926
S. KIRKPATRICK;181.416
C. D. GELATT;181.416
M. P. VECCHI;181.416
TAKEO KANADE;178.883
RANDOLPH BENTSON;178.869
GEORGE W. FURNAS;177.145
RAKESH AGRAWAL;175.358
DEBORAH ESTRIN;173.030
STEPHEN C. JOHNSON;168.657
EDWARD H. ADELSON;162.659
KEN THOMPSON;159.405
ADI SHAMIR;155.899
MICHAEL J. KARELS;153.567
DENNIS M. RITCHIE;152.912
H. ADELSON;149.576
BUTLER W. LAMPSON;149.033
MICHAEL BURROWS;148.711
DAVID HAREL;147.132
