author;score
SCOTT SHENKER;16274.000
SALLY FLOYD;13866.000
DEBORAH ESTRIN;13416.000
RAKESH AGRAWAL;13302.000
VAN JACOBSON;13281.000
M. FRANS KAASHOEK;11422.000
IAN FOSTER;11393.000
DON TOWSLEY;10956.000
JENNIFER WIDOM;10582.000
HARI BALAKRISHNAN;10189.000
LIXIA ZHANG;10182.000
SENIOR MEMBER;9568.000
THOMAS A. HENZINGER;9484.000
WILLY ZWAENEPOEL;9121.000
HECTOR GARCIA-MOLINA;9066.000
CARL KESSELMAN;8492.000
STEVEN MCCANNE;8308.000
STUDENT MEMBER;8154.000
ROBERT MORRIS;7920.000
VERN PAXSON;7751.000
KEN KENNEDY;7722.000
HUI ZHANG;7423.000
SERGE ABITEBOUL;7197.000
RAMAKRISHNAN SRIKANT;6711.000
DOUGLAS C. SCHMIDT;6705.000
RANDAL E. BRYANT;6680.000
DAVID B. JOHNSON;6491.000
DAVID J. DEWITT;6323.000
RAJEEV ALUR;6286.000
JOHN K. OUSTERHOUT;6124.000
