author;score
SENIOR MEMBER;13741.000
STUDENT MEMBER;12104.000
PH. D;7010.000
DOUGLAS C. SCHMIDT;6893.000
DON TOWSLEY;5951.000
SEBASTIAN THRUN;5890.000
KARSTEN SCHWAN;5760.000
DEBORAH ESTRIN;5737.000
KLARA NAHRSTEDT;5552.000
SCOTT SHENKER;5263.000
FACHBEREICH INFORMATIK;5180.000
KANG G. SHIN;5087.000
THOMAS EITER;4807.000
HARI BALAKRISHNAN;4728.000
IAN FOSTER;4699.000
AZER BESTAVROS;4277.000
AMIN VAHDAT;4216.000
HECTOR GARCIA-MOLINA;4210.000
MARTIN RINARD;4197.000
WOLFRAM BURGARD;4053.000
JARMO T. ALANDER;3975.000
MARIO GERLA;3972.000
M. FRANS KAASHOEK;3933.000
JOHN HEIDEMANN;3878.000
JIAWEI HAN;3863.000
THOMAS A. HENZINGER;3798.000
IAN HORROCKS;3739.000
ANGELOS D. KEROMYTIS;3719.000
GEORGE KARYPIS;3672.000
DIETER FOX;3664.000
