author;score
GERHARD WEIKUM;6203.683
HECTOR GARCIA-MOLINA;6186.983
H. V. JAGADISH;6184.083
RAKESH AGRAWAL;6177.250
MICHAEL J. CAREY;6093.217
ELISA BERTINO;6068.426
STEFANO CERI;6053.350
DAVID J. DEWITT;6052.550
SHAMKANT B. NAVATHE;6050.150
GULTEKIN OUMLZSOYOGLU;6042.183
YANNIS E. IOANNIDIS;6039.667
RAGHU RAMAKRISHNAN;6000.683
ABRAHAM SILBERSCHATZ;5979.417
CLEMENT T. YU;5975.850
SERGE ABITEBOUL;5973.300
HANS-JOUMLRG SCHEK;5973.000
RICHARD T. SNODGRASS;5967.717
MICHAEL STONEBRAKER;5959.617
NICK ROUSSOPOULOS;5948.017
GOETZ GRAEFE;5931.733
PATRICK VALDURIEZ;5926.733
MATTHIAS JARKE;5926.067
JENNIFER WIDOM;5905.017
DENNIS SHASHA;5903.317
PHILIP S. YU;5902.717
UMESHWAR DAYAL;5900.067
RICHARD HULL;5897.267
CHRISTOS FALOUTSOS;5880.600
MIRON LIVNY;5848.433
ALFONS KEMPER;5836.683
