author;score
MICHAEL STONEBRAKER;0.593
JIM GRAY;0.560
DAVID J. DEWITT;0.556
RAYMOND A. LORIE;0.556
JEFFREY D. ULLMAN;0.546
PHILIP A. BERNSTEIN;0.546
E. F. CODD;0.543
DONALD D. CHAMBERLIN;0.539
WON KIM;0.537
UMESHWAR DAYAL;0.535
MICHAEL J. CAREY;0.532
MORTON M. ASTRAHAN;0.531
DAVID MAIER;0.529
KAPALI P. ESWARAN;0.529
NATHAN GOODMAN;0.527
EUGENE WONG;0.526
IRVING L. TRAIGER;0.525
HECTOR GARCIA-MOLINA;0.523
FRANCCEDILOIS BANCILHON;0.520
BRUCE G. LINDSAY;0.519
PETER P. CHEN;0.518
RAKESH AGRAWAL;0.518
RONALD FAGIN;0.517
CATRIEL BEERI;0.517
THOMAS G. PRICE;0.514
PATRICIA G. SELINGER;0.514
JOHN MILES SMITH;0.513
MIKE W. BLASGEN;0.512
RANDY H. KATZ;0.512
GIO WIEDERHOLD;0.512
