author;score
MICHAEL STONEBRAKER;1909.000
DAVID J. DEWITT;1484.000
JIM GRAY;1400.000
RAYMOND A. LORIE;1276.000
JEFFREY D. ULLMAN;1180.000
WON KIM;1146.000
PHILIP A. BERNSTEIN;1145.000
E. F. CODD;1110.000
MICHAEL J. CAREY;1110.000
UMESHWAR DAYAL;1076.000
HECTOR GARCIA-MOLINA;1020.000
DAVID MAIER;1017.000
DONALD D. CHAMBERLIN;966.000
RAKESH AGRAWAL;907.000
PETER P. CHEN;906.000
SERGE ABITEBOUL;848.000
KAPALI P. ESWARAN;847.000
MORTON M. ASTRAHAN;846.000
FRANCCEDILOIS BANCILHON;840.000
NATHAN GOODMAN;819.000
BRUCE G. LINDSAY;806.000
HAMID PIRAHESH;803.000
IRVING L. TRAIGER;785.000
EUGENE WONG;762.000
JEFFREY F. NAUGHTON;729.000
JENNIFER WIDOM;727.000
RAGHU RAMAKRISHNAN;724.000
CATRIEL BEERI;722.000
NICK ROUSSOPOULOS;702.000
SHAMKANT B. NAVATHE;694.000
