author;score
GERHARD WEIKUM;872.000
HECTOR GARCIA-MOLINA;856.000
RAKESH AGRAWAL;761.000
MICHAEL J. CAREY;758.000
DAVID J. DEWITT;758.000
H. V. JAGADISH;717.000
MICHAEL STONEBRAKER;677.000
RAGHU RAMAKRISHNAN;652.000
YANNIS E. IOANNIDIS;649.000
ABRAHAM SILBERSCHATZ;636.000
ELISA BERTINO;635.000
SHAMKANT B. NAVATHE;629.000
PHILIP S. YU;622.000
STEFANO CERI;611.000
CHRISTOS FALOUTSOS;607.000
MATTHIAS JARKE;586.000
GULTEKIN OUMLZSOYOGLU;582.000
SERGE ABITEBOUL;575.000
NICK ROUSSOPOULOS;568.000
MIRON LIVNY;559.000
STANLEY Y. W. SU;558.000
HANS-JOUMLRG SCHEK;557.000
PATRICK VALDURIEZ;547.000
GOETZ GRAEFE;546.000
CLEMENT T. YU;542.000
RICHARD HULL;537.000
MICHAEL J. FRANKLIN;526.000
RICHARD T. SNODGRASS;513.000
JENNIFER WIDOM;510.000
DENNIS SHASHA;508.000
