author;score
MICHAEL STONEBRAKER;51920270.604
DAVID J. DEWITT;47407633.796
JIM GRAY;46202513.744
JEFFREY D. ULLMAN;43255880.998
MICHAEL J. CAREY;40700171.932
RAYMOND A. LORIE;37350006.114
PHILIP A. BERNSTEIN;36361815.206
LAWRENCE A. ROWE;35035718.542
EUGENE WONG;34499259.565
MIRON LIVNY;34488016.860
YEHOSHUA SAGIV;32954711.980
DONALD D. CHAMBERLIN;32704585.298
C. MOHAN;32417070.578
DAVID MAIER;32132542.674
NATHAN GOODMAN;31719323.894
HECTOR GARCIA-MOLINA;31080457.354
RANDY H. KATZ;30977276.737
JENNIFER WIDOM;30793150.109
RAKESH AGRAWAL;30763284.150
E. F. CODD;29634524.870
JEFFREY F. NAUGHTON;29267110.900
HAMID PIRAHESH;29233790.884
CATRIEL BEERI;28857797.364
BRUCE G. LINDSAY;28566231.162
RAGHU RAMAKRISHNAN;28057226.481
GOETZ GRAEFE;27015757.722
IRVING L. TRAIGER;26609996.395
LAURA M. HAAS;26327991.827
MORTON M. ASTRAHAN;26134436.913
H. V. JAGADISH;24773687.470
