author;score
MICHAEL STONEBRAKER;2.055
JIM GRAY;2.047
E. F. CODD;2.043
DAVID J. DEWITT;2.017
JEFFREY D. ULLMAN;2.014
RAYMOND A. LORIE;2.012
PHILIP A. BERNSTEIN;2.011
MICHAEL J. CAREY;1.993
DAVID MAIER;1.979
EUGENE WONG;1.973
DONALD D. CHAMBERLIN;1.969
LAWRENCE A. ROWE;1.967
NATHAN GOODMAN;1.966
YEHOSHUA SAGIV;1.966
HECTOR GARCIA-MOLINA;1.960
IRVING L. TRAIGER;1.955
CATRIEL BEERI;1.949
BRUCE G. LINDSAY;1.944
MORTON M. ASTRAHAN;1.943
JEFFREY F. NAUGHTON;1.942
JENNIFER WIDOM;1.937
RAGHU RAMAKRISHNAN;1.936
MIRON LIVNY;1.936
RANDY H. KATZ;1.934
RAKESH AGRAWAL;1.933
HAMID PIRAHESH;1.933
C. MOHAN;1.921
DONOVAN A. SCHNEIDER;1.910
RONALD FAGIN;1.910
LAURA M. HAAS;1.906
