author;score
MICHAEL STONEBRAKER;5946.000
DAVID J. DEWITT;5733.000
JEFFREY D. ULLMAN;4429.000
JIM GRAY;3982.000
MICHAEL J. CAREY;3583.000
RAYMOND A. LORIE;3501.000
HECTOR GARCIA-MOLINA;3275.000
PHILIP A. BERNSTEIN;3225.000
SERGE ABITEBOUL;3177.000
RAKESH AGRAWAL;3152.000
WON KIM;2993.000
DAVID MAIER;2772.000
E. F. CODD;2736.000
YEHOSHUA SAGIV;2575.000
CATRIEL BEERI;2491.000
UMESHWAR DAYAL;2465.000
RAGHU RAMAKRISHNAN;2426.000
CHRISTOS FALOUTSOS;2413.000
JENNIFER WIDOM;2354.000
DONALD D. CHAMBERLIN;2269.000
FRANCCEDILOIS BANCILHON;2264.000
JEFFREY F. NAUGHTON;2186.000
NATHAN GOODMAN;2176.000
HAMID PIRAHESH;2135.000
BRUCE G. LINDSAY;2013.000
MORTON M. ASTRAHAN;1985.000
IRVING L. TRAIGER;1820.000
ABRAHAM SILBERSCHATZ;1791.000
RONALD FAGIN;1773.000
EUGENE WONG;1764.000
