author;score
HECTOR GARCIA-MOLINA;433.000
MATTHIAS JARKE;411.000
GERHARD WEIKUM;411.000
DAVID J. DEWITT;386.000
ABRAHAM SILBERSCHATZ;369.000
SHAMKANT B. NAVATHE;368.000
RAKESH AGRAWAL;368.000
ELISA BERTINO;367.000
YANNIS E. IOANNIDIS;357.000
H. V. JAGADISH;356.000
MICHAEL J. CAREY;328.000
GULTEKIN OUMLZSOYOGLU;327.000
MICHAEL STONEBRAKER;324.000
HANS-JOUMLRG SCHEK;319.000
DENNIS SHASHA;318.000
PATRICK VALDURIEZ;311.000
RAGHU RAMAKRISHNAN;307.000
STEFANO CERI;305.000
GIO WIEDERHOLD;305.000
ALBERTO O. MENDELZON;296.000
GOETZ GRAEFE;293.000
MICHAEL J. FRANKLIN;293.000
CHRISTOS FALOUTSOS;291.000
JENNIFER WIDOM;286.000
ALFONS KEMPER;286.000
STANLEY Y. W. SU;282.000
AMIT P. SHETH;281.000
ROGER KING;278.000
BRUCE G. LINDSAY;277.000
JOSEPH M. HELLERSTEIN;275.000
