author;score
MICHAEL STONEBRAKER;28.000
DAVID J. DEWITT;24.000
JEFFREY D. ULLMAN;24.000
PHILIP A. BERNSTEIN;22.000
RAKESH AGRAWAL;21.000
WON KIM;21.000
YEHOSHUA SAGIV;20.000
CATRIEL BEERI;20.000
MICHAEL J. CAREY;20.000
SERGE ABITEBOUL;19.000
HECTOR GARCIA-MOLINA;19.000
UMESHWAR DAYAL;19.000
CHRISTOS FALOUTSOS;19.000
NATHAN GOODMAN;18.000
JIM GRAY;18.000
JEFFREY F. NAUGHTON;18.000
RAGHU RAMAKRISHNAN;18.000
RONALD FAGIN;18.000
JENNIFER WIDOM;18.000
DAVID MAIER;17.000
BRUCE G. LINDSAY;17.000
SHAMKANT B. NAVATHE;16.000
C. MOHAN;16.000
HAMID PIRAHESH;16.000
H. V. JAGADISH;16.000
YANNIS E. IOANNIDIS;16.000
MOSHE Y. VARDI;15.000
FRANCCEDILOIS BANCILHON;15.000
ALBERTO O. MENDELZON;15.000
CARLO ZANIOLO;15.000
