author;score
E. F. CODD;179.324
MICHAEL STONEBRAKER;137.371
JIM GRAY;115.364
DONALD D. CHAMBERLIN;114.010
RAYMOND A. LORIE;107.204
PHILIP A. BERNSTEIN;99.575
MORTON M. ASTRAHAN;87.673
KAPALI P. ESWARAN;87.167
PETER P. CHEN;84.098
IRVING L. TRAIGER;79.313
JOHN MILES SMITH;78.833
JEFFREY D. ULLMAN;74.323
EUGENE WONG;68.319
DAVID J. DEWITT;67.701
MIKE W. BLASGEN;62.185
GIANFRANCO R. PUTZOLU;61.585
BRADFORD W. WADE;60.731
RUDOLF BAYER;60.706
JAMES W. MEHL;58.499
PATRICIA P. GRIFFITHS;58.215
WON KIM;57.946
W. FRANK KING III;57.169
NATHAN GOODMAN;56.791
PAUL R. MCJONES;55.967
RONALD FAGIN;54.766
RAYMOND F. BOYCE;54.475
UMESHWAR DAYAL;54.099
DIANE C. P. SMITH;53.677
VERA WATSON;53.085
MICHAEL HAMMER;52.687
